name,place,type,rating,votes,noOfReviews,url,page,Cuisines:,Cost for two:,Hours:,Discount:,Featured in:,Freebie:,Today:,Special:,Promotions:,Upcoming:
Mocha Express,"Inorbit Mall, Hitech City",Food CourtCafé,2.6,24 votes,8 reviews,https://www.zomato.com/hyderabad/mocha-express-hitech-city,73,Cafe,₹500,11 AM to 11 PM (Mon-Sun),,,,,,,
Olive Mithai Shop,Nizampet,Dessert ParlorSweet Shop,3.1,12 votes,5 reviews,https://www.zomato.com/hyderabad/olive-mithai-shop-nizampet,73,"Desserts, Street Food",₹200,9:30 AM to 9:30 PM (Mon-Sun),,,,,,,
Ghungroo,Nacharam,Casual Dining,2.8,28 votes,5 reviews,https://www.zomato.com/hyderabad/ghungroo-nacharam-secunderabad,73,"North Indian, Chinese, Biryani",₹700,11 AM to 11 PM (Mon-Sun),,,,,,,
Airport Bawarchi Restaurant,Shamshabad,Casual Dining,3.0,11 votes,7 reviews,https://www.zomato.com/hyderabad/airport-bawarchi-restaurant-shamshabad,73,"North Indian, Biryani, Chinese",₹500,9 AM to 11 PM (Mon-Sun),,,,,,,
Hotel Ganesh Atithi,Malakpet,Quick Bites,2.9,6 votes,2 reviews,https://www.zomato.com/hyderabad/hotel-ganesh-atithi-malakpet,73,"South Indian, Street Food",₹150,6 AM to 10:30 PM (Mon-Sun),,,,,,,
Shawarma Hot and Cool Point,Malakpet,Quick Bites,3.1,8 votes,4 reviews,https://www.zomato.com/hyderabad/shawarma-hot-and-cool-point-malakpet,73,"Arabian, Street Food",₹250,12 Noon to 12 Midnight (Mon-Sun),,,,,,,
Hotel Raghavendra,A S Rao Nagar,Casual Dining,3.2,13 votes,7 reviews,https://www.zomato.com/hyderabad/hotel-raghavendra-as-rao-nagar-secunderabad,73,"South Indian, North Indian, Chinese",₹500,6 AM to 10:30 PM (Mon-Sun),,,,,,,
Highway 44,Kompally,Casual Dining,2.9,15 votes,7 reviews,https://www.zomato.com/hyderabad/highway-44-kompally,73,"North Indian, Chinese",₹700,11 AM to 11:30 PM (Mon-Sun),,,,,,,
Via Milano,Forum Sujana Mall,Bakery,3.0,8 votes,8 reviews,https://www.zomato.com/hyderabad/via-milano-kukatpally,73,"Bakery, Desserts, Fast Food",₹300,11 AM to 11 PM (Mon-Sun),,,,,,,
Frankie House,Sainikpuri,Kiosk,3.2,14 votes,9 reviews,https://www.zomato.com/hyderabad/frankie-house-sainikpuri-secunderabad,73,Fast Food,₹150,4 PM to 10 PM (Mon-Sun),,,,,,,
Evergreen Family Dhaba,Shamirpet,Dhaba,3.0,19 votes,7 reviews,https://www.zomato.com/hyderabad/evergreen-family-dhaba-shamirpet,74,North Indian,₹400,11 AM to 11 PM (Mon-Sun),,,,,,,
Best of East - The Manohar,"The Manohar, Begumpet",Fine Dining,3.1,5 votes,4 reviews,https://www.zomato.com/hyderabad/best-of-east-the-manohar-begumpet,74,Asian,"₹1,800",7:30 PM to 11:30 PM (Mon-Sun),,,,,,,
