name,place,type,rating,votes,noOfReviews,url,page,Cuisines:,Cost for two:,Hours:,Discount:,Featured in:,Freebie:,Today:,Special:,Promotions:,Upcoming:
Ohri's Rubaiyat,Hitech City,Casual Dining,4.0,737 votes,423 reviews,https://www.zomato.com/hyderabad/ohris-rubaiyat-hitech-city,1,"Continental, North Indian, Mughlai",₹900,"12 Noon to 3:30 PM, 7 PM to 11:30 PM (Mon-Sun)",Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
13 DHABA,Gachibowli,Quick Bites,4.0,1917 votes,954 reviews,https://www.zomato.com/hyderabad/13-dhaba-gachibowli,1,North Indian,₹450,"Closed (Mon),12 Noon to 3:30 PM, 7 PM to 10:30 PM...",Get 10% off all home-delivery. Valid only when you order online on Zomato.,"Pocket friendly, Veggie friendly",,,,,
Paradise,Hitech City,Casual Dining,3.6,1931 votes,940 reviews,https://www.zomato.com/hyderabad/paradise-hitech-city,1,"Biryani, North Indian, Chinese",₹950,11:30 AM to 11 PM (Mon-Sun),,Brilliant biryanis,,,,,
Exotica,"12th Square Building, Banjara Hills",Casual DiningBar,4.2,3122 votes,1447 reviews,https://www.zomato.com/hyderabad/exotica-banjara-hills,1,"Mughlai, North Indian, Chinese","₹1,500","12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,"Sunday brunches, Rooftops",Complimentary round of beer with our extravagant lunch buffet only (weekdays @ 545/- AI) Known for the most delicious food in town,Special Sunday Brunch,,,
New York Tavern,Madhapur,Casual Dining,3.9,217 votes,169 reviews,https://www.zomato.com/hyderabad/new-york-tavern-madhapur,1,"Mughlai, Italian, Continental, Chinese, North Indian, Indian",₹800,12 Noon to 11 PM (Mon-Sun),Get 15% off all home-delivery. Valid only when you order online on Zomato.,Happy hours,,,,,
The Grand Trunk Road,Madhapur,Casual Dining,3.9,307 votes,237 reviews,https://www.zomato.com/hyderabad/the-grand-trunk-road-madhapur,1,"North Indian, Chinese","₹1,100","12 Noon to 3:15 PM, 7 PM to 11:15 PM (Mon-Sat),12...",,,,The Grand Lunch Buffet - Every Monday to Saturday,,,
United Kitchens of India,Jubilee Hills,Casual DiningBar,4.1,1189 votes,707 reviews,https://www.zomato.com/hyderabad/united-kitchens-of-india-jubilee-hills,1,"Andhra, Kerala, Chettinad, Bengali, North Indian, Rajasthani, Chinese","₹1,100","12:30 PM to 3:30 PM, 7:30 PM to 12 Midnight (Mon-Sun)",,Regional favorites,,,,,
Chili's,Hitech City,Casual Dining,4.5,1770 votes,1207 reviews,https://www.zomato.com/hyderabad/chilis-hitech-city,1,"Mexican, American, Tex-Mex, Burger","₹1,700",12 Noon to 11 PM (Mon-Sun),,,,,,,
Jassi De Paranthe,Madhapur,Casual Dining,3.6,248 votes,179 reviews,https://www.zomato.com/hyderabad/jassi-de-paranthe-madhapur,1,"North Indian, Chinese",₹550,"11:50 AM to 5 PM, 7 PM to 11:30 PM (Mon-Tue),12 Noon...",Get 15% off all home-delivery. Valid only when you order online on Zomato.,"Terrific thalis, Veggie friendly",,,,,
Ohri's 100 Degrees,Ohri' Hitech City,Casual Dining,4.2,620 votes,471 reviews,https://www.zomato.com/hyderabad/ohris-100-degrees-hitech-city,1,Continental,"₹1,000",11:30 AM to 11:30 PM (Mon-Sun),Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Mamagoto,Banjara Hills,Casual Dining,4.1,633 votes,413 reviews,https://www.zomato.com/hyderabad/mamagoto-banjara-hills,1,Asian,"₹1,500",12:30 PM to 11 PM (Mon-Sun),,Pan-Asian delicacies,,,,,
Tabla,"Hardhick Crown, Hitech City",Casual Dining,3.5,679 votes,339 reviews,https://www.zomato.com/hyderabad/tabla-hitech-city,1,"North Indian, Chinese, Andhra",₹900,12 Noon to 11:30 PM (Mon-Sun),Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Rayalaseema Ruchulu,Jubilee Hills,Casual Dining,3.8,786 votes,503 reviews,https://www.zomato.com/hyderabad/rayalaseema-ruchulu-1-jubilee-hills,1,"Andhra, South Indian, Biryani","₹1,000","11:30 AM to 4 PM, 7 PM to 11:30 PM (Mon-Sun)",Get 20% off all home-delivery. Valid only when you order online on Zomato.,"Regional favorites, Terrific thalis, Brilliant biryanis",,,,,
Parathas & More,Kondapur,Quick Bites,3.8,350 votes,225 reviews,https://www.zomato.com/hyderabad/parathas-more-kondapur,1,North Indian,₹600,"11:30 AM to 4 PM, 7 PM to 11 PM (Mon-Fri),11 AM to 4...",,,,,,,
Chaitanya Food Court,Kukatpally,Casual Dining,3.6,498 votes,327 reviews,https://www.zomato.com/hyderabad/chaitanya-food-court-kukatpally,1,"North Indian, Chinese, Andhra",₹800,"12 Noon to 11 PM (Mon-Fri),11:30 AM to 11 PM (Sat-Sun)",Get 15% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
SodaBottleOpenerWala,Jubilee Hills,Casual DiningBar,4.2,1326 votes,821 reviews,https://www.zomato.com/hyderabad/sodabottleopenerwala-jubilee-hills,1,Parsi,"₹1,300",12 Noon to 11:30 PM (Mon-Sun),,"Regional favorites, Trending this week",,,,,
Punjab Grill,Jubilee Hills,Casual Dining,4.0,232 votes,204 reviews,https://www.zomato.com/hyderabad/punjab-grill-jubilee-hills,1,"North Indian, Mughlai","₹1,500","12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,"Regional favorites, Newly opened",,,,,
FIREWATER  Kitchen & Bar,Hitech City,Casual Dining,4.1,704 votes,434 reviews,https://www.zomato.com/hyderabad/firewater-kitchen-bar-1-hitech-city,1,"Chinese, North Indian","₹1,300",12 Noon to 11 PM (Mon-Sun),,,,,,,
AB's - Absolute Barbecues,Jubilee Hills,Casual Dining,4.8,5082 votes,2249 reviews,https://www.zomato.com/hyderabad/abs-absolute-barbecues-jubilee-hills,1,"European, Mediterranean, North Indian","₹1,800","12 Noon to 2:45 PM, 6:30 PM to 11:30 PM (Mon-Sun)",,Barbecue & grill,,,,,
Cream Stone,Jubilee Hills,Dessert Parlor,4.4,1228 votes,438 reviews,https://www.zomato.com/hyderabad/cream-stone-jubilee-hills,1,"Ice Cream, Desserts",₹350,10 AM to 2 AM (Mon-Sun),Get 10% off your first home-delivery order from us. Valid only when you order online on Zomato.,Frozen delights,,,,,
Chili's,Banjara Hills,Casual Dining,4.7,1328 votes,1085 reviews,https://www.zomato.com/hyderabad/chilis-banjara-hills,1,"Mexican, American, Tex-Mex, Burger","₹1,700",12 Noon to 11 PM (Mon-Sun),,Football screenings,,,,,
Kolkata House,Kondapur,Casual Dining,3.7,607 votes,366 reviews,https://www.zomato.com/hyderabad/kolkata-house-kondapur,1,"Bengali, Chinese, North Indian, Seafood",₹400,11 AM to 11 PM (Mon-Sun),,Pocket friendly,,,,,
AB's - Absolute Barbecues,Gachibowli,Casual Dining,4.8,1864 votes,1019 reviews,https://www.zomato.com/hyderabad/abs-absolute-barbecues-gachibowli,1,"European, Mediterranean, North Indian","₹1,800","12 Noon to 4:30 PM, 6:30 PM to 11:30 PM (Mon-Sun)",,Barbecue & grill,,,,,
Sardarji's Dhaba,Gachibowli,Quick Bites,3.9,1036 votes,566 reviews,https://www.zomato.com/hyderabad/sardarjis-dhaba-gachibowli,1,"Street Food, North Indian, Fast Food",₹400,"12 Noon to 3:30 PM, 7 PM to 10:30 PM (Mon-Sun)",,"Street food, Pocket friendly, Veggie friendly",,,,,
4 Seasons,Kondapur,Casual Dining,3.7,437 votes,259 reviews,https://www.zomato.com/hyderabad/4-seasons-kondapur,1,"Mughlai, North Indian, Seafood",₹900,12 Noon to 11 PM (Mon-Sun),Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Ohri's Ruci & Idoni Bistro,Banjara Hills,Casual Dining,4.2,972 votes,489 reviews,https://www.zomato.com/hyderabad/ohris-ruci-idoni-bistro-banjara-hills,1,"Italian, European, Continental","₹1,400","11:30 AM to 11 PM (Mon-Sat),8:30 AM to 11 PM (Sun)",Get 10% off all home-delivery. Valid only when you order online on Zomato.,Great Italian,,,,,
Coco's Bar & Grill,Banjara Hills,BarCasual Dining,4.0,1626 votes,634 reviews,https://www.zomato.com/hyderabad/cocos-bar-grill-banjara-hills,1,"Italian, Chinese, Continental, North Indian","₹1,600",12 Noon to 12 Midnight (Mon-Sun),Get 10% off all home-delivery. Valid only when you order online on Zomato.,"Rooftops, Best bars & pubs",,,,,
Glocal Junction,Jubilee Hills,Casual DiningBar,4.0,550 votes,384 reviews,https://www.zomato.com/hyderabad/glocal-junction-jubilee-hills,1,"European, Continental, North Indian",₹900,12 Noon to 12 Midnight (Mon-Sun),,Best bars & pubs,,,,,
The Wonton,Gachibowli,Casual Dining,3.7,759 votes,402 reviews,https://www.zomato.com/hyderabad/the-wonton-gachibowli,1,"Chinese, Malaysian, Thai",₹750,"12 Noon to 3 PM, 7 PM to 10:30 PM (Mon-Sun)",,,,,,,
Heart Cup Coffee,Kondapur,CaféBar,4.1,1705 votes,756 reviews,https://www.zomato.com/hyderabad/heart-cup-coffee-kondapur,1,"Cafe, Continental, North Indian, Chinese","₹1,800",11:30 AM to 11:30 PM (Mon-Sun),,Karaoke bars,,,"The Funday Feast
An all you can eat buffet from a widespread variety of cuisines along with live music. Every Sunday at Rs.499",15% off on Axis Bank Credit & Debit Cards   [T&C],
Sarvi Restaurant,Banjara Hills,Casual Dining,4.0,1026 votes,506 reviews,https://www.zomato.com/hyderabad/sarvi-restaurant-banjara-hills,2,"Biryani, North Indian, Mughlai, Chinese, Hyderabadi",₹850,"12 Noon to 4:30 PM, 7 PM to 11:30 PM (Mon-Sun)",,Brilliant biryanis,,,,,
Prost Brew Pub,Jubilee Hills,MicrobreweryCasual Dining,4.0,247 votes,190 reviews,https://www.zomato.com/hyderabad/prost-brew-pub-jubilee-hills,2,"Italian, Continental, Chinese","₹1,200",12 Noon to 12 Midnight (Mon-Sun),,,,,,,
Jonathan's Kitchen - Holiday Inn Express & Suites,Holiday Inn Express & Suites,Fine Dining,4.1,734 votes,409 reviews,https://www.zomato.com/hyderabad/jonathans-kitchen-holiday-inn-express-suites-gachibowli,2,"North Indian, Japanese, Italian","₹1,900","11:30 AM to 3 PM, 7 PM to 11 PM (Mon-Sun)",,"Sunday brunches, Great Italian","""A Saturday Drunch"", can you believe it? A blast from the past, with a twist and glimpse of the future, Saturday Drunch it is !!!!!","WHAT!!!! ""A SATURDAY DRUNCH""",,,
Kavanah,Jubilee Hills,Casual DiningBakery,4.0,441 votes,287 reviews,https://www.zomato.com/hyderabad/kavanah-jubilee-hills,2,"Continental, Chinese, Bakery, Desserts","₹1,100",11 AM to 11 PM (Mon-Sun),,"Diwali Specials, Best bakeries",,,,,
Hyderabad Social,Banjara Hills,Casual Dining,3.5,496 votes,360 reviews,https://www.zomato.com/hyderabad/hyderabad-social-banjara-hills,2,"North Indian, Continental",₹900,10 AM to 12 Midnight (Mon-Sun),,Sunday brunches,,,,,
Ci Gusta!,Madhapur,Casual DiningDessert Parlor,4.0,899 votes,467 reviews,https://www.zomato.com/hyderabad/ci-gusta-madhapur,2,"Italian, Desserts, Fast Food","₹1,050","11:30 AM to 1 AM (Mon-Fri),9 AM to 1 AM (Sat-Sun)",,"Great Italian, Frozen delights",,,,,
The Spicy Venue,Jubilee Hills,Casual Dining,3.8,787 votes,383 reviews,https://www.zomato.com/hyderabad/the-spicy-venue-jubilee-hills,2,"Andhra, North Indian, Chinese, Biryani",₹900,"12 Noon to 3:30 PM, 6:30 PM to 11 PM (Mon-Sun)",,"Terrific thalis, Brilliant biryanis",,,,,
Bikanervala,Banjara Hills,Quick BitesSweet Shop,4.0,1892 votes,800 reviews,https://www.zomato.com/hyderabad/bikanervala-banjara-hills,2,"North Indian, Street Food, South Indian, Chinese, Mithai",₹700,8 AM to 11 PM (Mon-Sun),,"Sweetshops, Veggie friendly, Great breakfasts",,,,,
Ohri's Far East,"Ohri's, Banjara Hills",Casual Dining,3.6,512 votes,288 reviews,https://www.zomato.com/hyderabad/ohris-far-east-banjara-hills,2,Chinese,"₹1,000","12 Noon to 3:30 PM, 7 PM to 11:30 PM (Mon-Sun)",Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Little Italy,Hitech City,Fine Dining,4.1,1444 votes,561 reviews,https://www.zomato.com/hyderabad/little-italy-1-hitech-city,2,"Italian, Continental","₹1,750","12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,"Sunday brunches, Great Italian, Rooftops, Veggie friendly",,,,,
NorFest - The Dhaba,"SLN Terminus,Gachibowli",Food Court,4.5,389 votes,327 reviews,https://www.zomato.com/hyderabad/norfest-the-dhaba-gachibowli,2,North Indian,₹450,"12 Noon to 10:30 PM (Mon-Fri),12 Noon to 11 PM...",,,,,,,
Hello Curry,,,3.4,444 votes,281 reviews,https://www.zomato.com/hello-curry-1,2,"North Indian, Biryani, South Indian",₹600,11 AM to 11 PM (Mon-Sun),Get 40% off all home-delivery orders above Rs. 150. Valid only when you order online on Zomato.,,,,,,
China Bistro,Jubilee Hills,Casual Dining,4.2,421 votes,301 reviews,https://www.zomato.com/hyderabad/china-bistro-jubilee-hills,2,"Chinese, Thai, Asian","₹1,500","12 Noon to 3:30 PM, 7:30 PM to 11 PM (Mon-Sun)",,Pan-Asian delicacies,,,,,
Rajdhani Thali Restaurant,Banjara Hills,Casual Dining,4.0,1014 votes,487 reviews,https://www.zomato.com/hyderabad/rajdhani-thali-restaurant-banjara-hills,2,"Rajasthani, Gujarati",₹900,"12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,"Regional favorites, Terrific thalis, Veggie friendly",,,,,
Pine & Dine,Hitech City,Casual Dining,4.0,474 votes,387 reviews,https://www.zomato.com/hyderabad/pine-dine-hitech-city,2,"North Indian, South Indian, Chinese",₹700,12 Noon to 12 Midnight (Mon-Sun),,,,,,,
Deli 9 Bistro,Gachibowli,Café,4.1,716 votes,401 reviews,https://www.zomato.com/hyderabad/deli-9-bistro-gachibowli,2,"Cafe, Continental, Desserts",₹700,12 Noon to 10:30 PM (Mon-Sun),,Diwali Specials,,,,,
Coffee Cup,Sainikpuri,Café,4.6,1260 votes,596 reviews,https://www.zomato.com/hyderabad/coffee-cup-sainikpuri-secunderabad,2,"Cafe, Continental",₹800,"9 AM to 11:30 PM (Mon-Fri),8 AM to 11:30 PM (Sat-Sun)",,"Great breakfasts, Karaoke bars",,,,,
Ohri's De Thali,Begumpet,Casual Dining,3.8,490 votes,232 reviews,https://www.zomato.com/hyderabad/ohris-de-thali-begumpet,2,"North Indian, Rajasthani",₹700,"12:30 PM to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",Get 10% off all home-delivery. Valid only when you order online on Zomato.,"Regional favorites, Terrific thalis, Veggie friendly",,,,,
Delhi-39,Gachibowli,Casual Dining,3.1,438 votes,214 reviews,https://www.zomato.com/hyderabad/delhi-39-gachibowli,2,"North Indian, Chinese",₹350,"12 Noon to 3:30 PM, 6:30 PM to 11 PM (Mon-Sun)",Get 15% off all home-delivery orders above Rs. 200. Maximum discount up to Rs. 100. Valid only when you order online on Zomato.,,,,,,
Burger King,Forum Sujana Mall,Quick Bites,3.8,544 votes,354 reviews,https://www.zomato.com/hyderabad/burger-king-kukatpally,2,"Fast Food, American",₹500,11 AM to 11 PM (Mon-Sun),Get 15% off on all home-delivery orders above Rs. 299. Valid only when you order online on Zomato.,,,,,,
Guilt Trip,Banjara Hills,Bakery,4.2,1069 votes,597 reviews,https://www.zomato.com/hyderabad/guilt-trip-banjara-hills,2,"Bakery, Desserts",₹700,11 AM to 11 PM (Mon-Sun),,Best bakeries,,,,,
Heart Cup Coffee,Jubilee Hills,CaféBar,3.9,888 votes,424 reviews,https://www.zomato.com/hyderabad/heart-cup-coffee-jubilee-hills,2,"Cafe, Italian, Chinese, North Indian","₹1,800",7 AM to 12 Midnight (Mon-Sun),,Beer in a bar,,,,,
Punjabi Rasoi,Gachibowli,Casual Dining,2.8,592 votes,290 reviews,https://www.zomato.com/hyderabad/punjabi-rasoi-gachibowli,2,"North Indian, Chinese",₹650,11 AM to 12 Midnight (Mon-Sun),,,,,,,
Ulavacharu,Jubilee Hills,Casual Dining,3.8,1717 votes,803 reviews,https://www.zomato.com/hyderabad/ulavacharu-jubilee-hills,2,"Andhra, North Indian, Chinese","₹1,300",12 Noon to 11 PM (Mon-Sun),,"Regional favorites, Terrific thalis, Brilliant biryanis",,,"Now you can Reserve a Table and Book Party Place at UlavacharU,plz contact 9394266887,040-23545596/99",,
Oh So Stoned!,Banjara Hills,Dessert Parlor,4.2,571 votes,318 reviews,https://www.zomato.com/hyderabad/oh-so-stoned-banjara-hills,2,"Ice Cream, Desserts",₹350,11 AM to 1 AM (Mon-Sun),,Frozen delights,,,,,
Palamuru Grill,Madhapur,Casual Dining,3.4,762 votes,465 reviews,https://www.zomato.com/hyderabad/palamuru-grill-madhapur,2,"Andhra, Biryani, North Indian",₹700,"12 Noon to 4 PM, 7 PM to 10:45 PM (Mon-Thu),12 Noon...",,,,,,,
Noha by Four Seasons,Jubilee Hills,Casual Dining,4.0,159 votes,104 reviews,https://www.zomato.com/hyderabad/noha-by-four-seasons-jubilee-hills,2,"Hyderabadi, Lebanese, Mughlai","₹1,200",11 AM to 12 Midnight (Mon-Sun),Get 10% off all home-delivery. Valid only when you order online on Zomato.,Trending this week,,Sweet Beginnings,,,
Ohri's Dhaba,Ohri' Hitech City,Casual Dining,2.8,753 votes,454 reviews,https://www.zomato.com/hyderabad/ohris-dhaba-hitech-city,2,North Indian,"₹1,100","12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Dine Hill,Masab Tank,Casual Dining,3.8,386 votes,209 reviews,https://www.zomato.com/hyderabad/dine-hill-masab-tank,2,"Arabian, North Indian, Chinese, Biryani",₹750,11:30 AM to 12 Midnight (Mon-Sun),,Mandi,,,,,
Squeeze @ The Lime,Gachibowli,Casual Dining,3.6,299 votes,200 reviews,https://www.zomato.com/hyderabad/squeeze-the-lime-gachibowli,2,"Italian, North Indian, Chinese",₹650,"7 AM to 10:30 AM, 12:30 PM to 3:30 PM, 7 PM to 11 PM...",,Veggie friendly,,,,,
Habanero,Hitech City,Casual DiningBar,3.9,933 votes,539 reviews,https://www.zomato.com/hyderabad/habanero-hitech-city,3,Mexican,"₹1,800","12:30 PM to 3:30 PM, 6:30 PM to 11:30 PM...",,"Football screenings, Karaoke bars",,,,,
Delhi-39,Madhapur,Casual Dining,3.4,442 votes,195 reviews,https://www.zomato.com/hyderabad/delhi-39-madhapur,3,"North Indian, Chinese",₹350,"12 Noon to 3:30 PM, 6:30 PM to 11 PM (Mon-Sun)",Get 15% off all home-delivery orders above Rs. 200. Maximum discount up to Rs. 100. Valid only when you order online on Zomato.,"Pocket friendly, Veggie friendly",,,,,
10 Downing Street,Begumpet,Pub,4.0,1660 votes,597 reviews,https://www.zomato.com/hyderabad/10-downing-street-begumpet,3,"North Indian, Chinese, Continental","₹1,800",12 Noon to 12 Midnight (Mon-Sun),,"Football screenings, Karaoke bars",,MRP Nights,I've got 99 problems but chilling aint one. Every day 4PM-7.45 Rs 99/- is all you need to have for a good time. Call us for more details!!,,
Ohri's Serengeti,"Ohri's, Banjara Hills",BarCasual Dining,3.8,352 votes,192 reviews,https://www.zomato.com/hyderabad/ohris-serengeti-banjara-hills,3,North Indian,"₹1,200","12 Noon to 3:30 PM, 7 PM to 11:30 PM (Mon-Sun)",Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Urban Asia - Kitchen & Bar,Jubilee Hills,Casual Dining,4.0,1790 votes,811 reviews,https://www.zomato.com/hyderabad/urban-asia-kitchen-bar-jubilee-hills,3,"Chinese, Thai, Asian, Seafood","₹1,300",11 AM to 12 Midnight (Mon-Sun),,"Sunday brunches, Pan-Asian delicacies",,,,,
Vertigo - The High Life,Banjara Hills,LoungeCasual Dining,3.6,399 votes,290 reviews,https://www.zomato.com/hyderabad/vertigo-the-high-life-banjara-hills,3,"Chinese, North Indian, Continental, Italian, Mexican","₹1,200",11 AM to 12 Midnight (Mon-Sun),,"Rooftops, Football screenings, Karaoke bars",,HAPPY HIGH,Birthdays and celebrations 30%off make it more special one @ vertigo ... Where it all begins,,
Jewel of Nizam - The Minar - The Golkonda Resort,"The Golkonda Resort, Gandipet",Fine Dining,4.3,633 votes,385 reviews,https://www.zomato.com/hyderabad/jewel-of-nizam-the-minar-the-golkonda-resort-gandipet,3,"Hyderabadi, Mughlai","₹2,500","12:30 PM to 3 PM, 7 PM to 11 PM (Mon-Sun)",,"Luxury dining, On the outskirts",,,,,
4 Seasons,"Inorbit Mall, Hitech City",Food Court,3.7,349 votes,152 reviews,https://www.zomato.com/hyderabad/4-seasons-hitech-city,3,"Mughlai, North Indian, Seafood",₹900,12 Noon to 11 PM (Mon-Sun),Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Mainland China,Hitech City,Casual Dining,3.7,722 votes,343 reviews,https://www.zomato.com/hyderabad/mainland-china-hitech-city,3,"Chinese, Seafood","₹1,500","12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,,,,,Culinary treats package on ICICI Bank Credit & Debit Cards   [T&C],
Nanking,Paradise Circle,Casual Dining,3.7,811 votes,355 reviews,https://www.zomato.com/hyderabad/nanking-paradise-circle-secunderabad,3,"Chinese, Seafood",₹750,"10:30 AM to 4 PM, 6 PM to 10:30 PM (Mon-Sun)",,"Legendary outlets, Pan-Asian delicacies",,,,,
Mustang,Gachibowli,Casual DiningBar,4.0,192 votes,155 reviews,https://www.zomato.com/hyderabad/mustang-gachibowli,3,Italian,"₹1,200",12 Noon to 12 Midnight (Mon-Sun),,"Happy hours, Rooftops",,,,,
Ananda,Banjara Hills,Casual Dining,4.0,391 votes,244 reviews,https://www.zomato.com/hyderabad/ananda-banjara-hills,3,"Andhra, Chinese, North Indian",₹700,"12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,"Regional favorites, Terrific thalis, Brilliant biryanis",,,,,
Blue Fox,Kondapur,Casual Dining,3.4,518 votes,273 reviews,https://www.zomato.com/hyderabad/blue-fox-kondapur,3,"Chinese, North Indian","₹1,000",7 AM to 11 PM (Mon-Sun),Get 15% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Karachi Bakery,Banjara Hills,BakeryDessert Parlor,4.3,1072 votes,356 reviews,https://www.zomato.com/hyderabad/karachi-bakery-banjara-hills,3,"Bakery, Fast Food, Mithai",₹450,10:30 AM to 10:30 PM (Mon-Sun),,"Legendary outlets, Best bakeries",,,,,
A'la Liberty,Banjara Hills,Casual Dining,3.9,938 votes,409 reviews,https://www.zomato.com/hyderabad/ala-liberty-banjara-hills,3,"North Indian, Continental, Asian",₹850,12 Noon to 11 PM (Mon-Sun),,Veggie friendly,,,,,
Mocha,Banjara Hills,Café,3.6,532 votes,206 reviews,https://www.zomato.com/hyderabad/mocha-banjara-hills,3,"Cafe, Continental",₹850,9:30 AM to 11 PM (Mon-Sun),Get 15% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
TGI Fridays,Forum Sujana Mall,Casual DiningBar,3.5,528 votes,340 reviews,https://www.zomato.com/hyderabad/tgi-fridays-kukatpally,3,"American, Mexican","₹2,000",12 Noon to 12 Midnight (Mon-Sun),,,,,,"15% off on Axis Bank Credit & Debit Cards   [T&C]
                                                    
                                                                                                                                                                    
                                                                                                                        
                                                                                                                                                                                                                                                                                     
                                                                            
                                                    Save 15% on ICICI Bank Credit & Debit Cards   [T&C]",
The Wingster,Madhapur,Quick Bites,3.8,501 votes,280 reviews,https://www.zomato.com/hyderabad/the-wingster-madhapur,3,"American, Fast Food",₹550,12 Noon to 12 Midnight (Mon-Sun),Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Ohri's Tansen,"Ohri's, Necklace Road",Fine Dining,4.2,834 votes,429 reviews,https://www.zomato.com/hyderabad/ohris-tansen-necklace-road,3,North Indian,"₹1,500","12:30 PM to 3:30 PM, 7 PM to 11:30 PM (Mon-Sun)",,,,,,,
Barbeque Nation,Banjara Hills,Casual Dining,4.4,2886 votes,1022 reviews,https://www.zomato.com/hyderabad/barbeque-nation-banjara-hills,3,"Mediterranean, North Indian","₹2,000","12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,Barbecue & grill,,,,,
Urban Kitchen,Miyapur,Casual Dining,3.8,94 votes,77 reviews,https://www.zomato.com/hyderabad/urban-kitchen-miyapur,3,"North Indian, Chinese, South Indian, Continental",₹750,"12 Noon to 3:30 PM, 7 PM to 11 PM (Mon),12 Noon to 3...",Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Rotis,"Hardhick Crown, Hitech City",Casual Dining,3.7,1075 votes,508 reviews,https://www.zomato.com/hyderabad/rotis-hitech-city,3,"North Indian, Chinese, Mexican, South Indian","₹1,000","12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,Veggie friendly,,,,,
Rayalaseema Ruchulu,Hitech City,Casual Dining,3.7,405 votes,240 reviews,https://www.zomato.com/hyderabad/rayalaseema-ruchulu-hitech-city,3,"Andhra, South Indian, Biryani","₹1,000","12 Noon to 4 PM, 7 PM to 11 PM (Mon-Sun)",Get 20% off all home-delivery. Valid only when you order online on Zomato.,"Regional favorites, Terrific thalis, Brilliant biryanis",,,,,
Ohri's Pickles - Hotel Baseraa,"Hotel Baseraa, S D Road",Casual Dining,3.7,358 votes,239 reviews,https://www.zomato.com/hyderabad/ohris-pickles-hotel-baseraa-sd-road-secunderabad,3,"North Indian, Biryani","₹1,000","11:30 AM to 3:30 PM, 7 PM to 11:45 PM (Mon-Sun)",Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Simply South,Gachibowli,Casual Dining,4.2,704 votes,425 reviews,https://www.zomato.com/hyderabad/simply-south-gachibowli,3,"Andhra, Kerala, Chettinad, Mangalorean, Hyderabadi, South Indian","₹1,000","12 Noon to 3:15 PM, 7 PM to 10:30 PM (Mon-Sun)",,"Regional favorites, Terrific thalis",,,,,
Fusion 9,"Inorbit Mall, Hitech City",Fine Dining,3.8,842 votes,419 reviews,https://www.zomato.com/hyderabad/fusion-9-hitech-city,3,"Continental, Italian, North Indian, Asian","₹1,750",12 Noon to 12 Midnight (Mon-Sun),,"Sunday brunches, Football screenings",,,,,
Eclaire,Banjara Hills,BakeryCafé,4.1,385 votes,246 reviews,https://www.zomato.com/hyderabad/eclaire-banjara-hills,3,"Bakery, Cafe",₹600,8 AM to 11 PM (Mon-Sun),,"Diwali Specials, Best bakeries",,,,,
Thinespo,Kompally,Casual Dining,3.9,581 votes,299 reviews,https://www.zomato.com/hyderabad/thinespo-kompally,3,"Continental, Italian",₹800,"9:30 AM to 10:45 PM (Mon-Thu),7:30 AM to 11:30 PM...",,"On the outskirts, Great Italian",,,,,
Via Milano,Jubilee Hills,Fine Dining,3.9,866 votes,386 reviews,https://www.zomato.com/hyderabad/via-milano-jubilee-hills,3,"Italian, Continental","₹1,800",11 AM to 12 Midnight (Mon-Sun),,"Sunday brunches, Great Italian",,,,,
Spice 6 - The Global Cuisine,Banjara Hills,Casual Dining,4.1,450 votes,263 reviews,https://www.zomato.com/hyderabad/spice-6-the-global-cuisine-banjara-hills,3,"North Indian, Mughlai, Chinese, Lebanese","₹1,100",11 AM to 11 PM (Mon-Sun),,,,,,,
Via Milano,Jubilee Hills,Fine Dining,3.9,866 votes,386 reviews,https://www.zomato.com/hyderabad/via-milano-jubilee-hills,4,"Italian, Continental","₹1,800",11 AM to 12 Midnight (Mon-Sun),,"Sunday brunches, Great Italian",,,,,
